名称,级别,所在地区,详情链接,简介,大门票参考,景交费用参考,费用区间参考,开放时间,适宜季节,建议游玩时间,旅游景区级别,详细地址,官方网站,抓取状态,自然保护区等级,森林公园等级,国家风景名胜区,度假区级别,国家级水利风景区,地质公园级别,遗产项目编号,文物保护单位,官网,博物馆等级,地址,湿地级别,中文名,占地面积,主管部门,免票时间,企业官网,开盘时间,所在地址,外文名,成立时间,藏品数量
江门市锦江温泉旅游度假区,4A,江门市,https://www.maigoo.com/citiao/3829.html,锦江温泉旅游度假区，位于广东省江门市恩平市大田镇，是国家AAAA级旅游景区，也是集住宿、饮食、娱乐、保健、商务、会务、休闲和大型露天温泉融于一体的中国温泉文化经典之度假胜地。锦江温泉以其水质清澈贯底、晶莹爽滑，富含偏硅酸、氟、锂、锶、溴、碘、氡、硫等10多种对人体有益的微量矿物质元素，被誉为“三料温泉”。,,,,,冬季,4~5小时,4A,广东省 江门市 恩平市 大田镇,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
广州南沙滨海湿地景区,4A,广州市,https://www.maigoo.com/citiao/3895.html,南沙湿地公园位于广州市最南端，地处珠江出海口西岸的南沙区万顷沙镇十八涌与十九涌之间，总面积约10000亩，是广州市最大的湿地公园，是候鸟迁徙的重要停息地之一，也是夏季观赏荷花荷叶的好去处。南沙湿地景区分为两期建设，一期面积约为3400亩，为生态保护核心区，以开展生态系统科研科普教育为主；二期面积约为6000亩，为综合开发生态旅游区，是集生态观光、科普教育、文化影视、休闲健康等综合配套为一体的滨海湿地特色生态旅游休闲区。,,,,09:00~18:30,6-10月最佳,2~3小时,4A,广东省 广州市 南沙区 万顷沙镇新港大道1号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
姜堰古罗塘旅游文化景区,4A,泰州市,https://www.maigoo.com/citiao/113119.html,古罗塘旅游文化景区，位于江苏省泰州市姜堰区北大街文化街区，占地42亩，总建筑面积近3万平方米。景区北部为商业休闲区，建筑群古色古香，内部街巷纵横，天井、游廊等中国古典建筑元素与现代商业元素交相辉映；南部为文化旅游区，采取“修旧如旧，以存其真”的修缮原则，注重挖掘历史文化内涵，区内王氏宗祠、黄龙士纪念馆、乾隆昌栈等历史文化景点享誉苏中。,,,,全天,全年,3~4小时,4A,江苏省 泰州市 姜堰区 北大街文化街区,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
乐清市中雁荡山风景区,4A,温州市,https://www.maigoo.com/citiao/110851.html,中雁荡山，原名白石山，位于乐清市西南10公里，距温州市区20公里。景区总面积93.44平方公里，区内以峰雄嶂险、飞瀑流泉、洞幽寺古、湖光山色、潭碧林翠著称，历代文人雅士慕名而来，留下大量珍贵的墨迹，为山色增添了光彩。中雁荡山民风淳朴，有传统的盛大集市“三月初十”，还有独特的自然条件，炎夏清凉，隆冬燠温，林果海鲜四时丰饶，诚为观光旅游、会议、度假休闲之胜地。,玉甑景区30元，西漈景区20元,缆车40元/趟，75元/上下,100~200元,06:00~18:00,4月~10月,3~4小时,4A,浙江省 温州市 乐清市 雁荡镇,,成功,,,,,国家级,,,,,,,,,,,,,,,,,
满城汉墓景区,4A,保定市,https://www.maigoo.com/citiao/117463.html,满城汉墓景区，位于河北省保定市满城区中山西路，是西汉中山靖王刘胜及其妻窦绾之墓。景区平面布局上大同小异，由墓道、甬道、北耳室、南耳室、中室、后室六个部分组成；墓中还设有构思精妙的防盗和排水系统。满城汉墓的发现，揭示了西汉时期诸侯王的墓葬结构和埋葬制度，为研究汉代冶炼、铸造、漆器、纺织等手工业和工艺美术等方面的发展情况提供了重要的实物资料。,,,,08:30~17:30,春秋季,2~3小时,4A,河北省 保定市 满城区 中山西路126号,,成功,,,,,,,,,,,,,,,,,,,,,,
温州泰顺廊桥文化园,4A,温州市,https://www.maigoo.com/citiao/110943.html,廊桥文化园景区，位于温州市泰顺县泗溪镇，距离温州市区105公里。文化园是以山水休闲度假、红色经典回顾、生态休闲农业、为主要特色的国家AAAA级旅游景区、浙江省非遗旅游经典景区。文化园面积109公顷，由廊桥文化展示区、传统山村生活区、传统商业步行街三大区块组成，主要有北涧桥、溪东桥、九曲溪、廊桥文化展示厅、林家大院、十八学士旧址、汤氏宗祠、古道、古井等人文景观。,,,,全天,全年,3小时,4A,浙江省 温州市 泰顺县 泗溪镇,,成功,,,,,,,,,,,,,,,,,,,,,,
苏州市中国刺绣艺术馆,4A,苏州市,https://www.maigoo.com/citiao/57923.html,苏州刺绣博物馆，建立于1986年，位于江苏省苏州市姑苏区景德路274号，是国内规模较大，集刺绣技艺研发、学术交流、展示评比及文化传播等多功能为一体的专业性刺绣展馆。博物馆占地面积8000平方米，建筑面积5000平方米，设有绣史馆，名人馆，工艺馆、精品馆及特展厅，分别展陈了刺绣珍贵文物和当代织绣大师的典藏珍品。,,,,08:00~17:00,全年,1~2小时,4A,江苏省 苏州市 姑苏区 景德路274号,,成功,,,,,,,世界文化遗产,苏州市文物保护单位,,无级别（行业）,,,,,,,,,,,,
泰州市兴化李中水上森林景区,4A,泰州市,https://www.maigoo.com/citiao/113116.html,水上森林公园景区，位于江苏省泰州市兴化市李中镇舜川路，是全省较大的人工湿地生态林。公园是国家AAAA级景区，江苏省环境教育基地、江苏省科普教育基地。景区占地面积2000亩，其中森林面积为1050余亩、水面面积为950余亩，园内采用林垛沟鱼的立体模式，森林主要以水杉为主，美丽的白鹭在林中穿梭飞翔，使整个景区动静结合，形成了“林中有水、林中有鸟”的水乡景观。,,,,08:30~17:00,夏季,3~4小时,4A,江苏省 泰州市 兴化市 李中镇舜川路,,成功,,,,,,,,,,,,,,,,,,,,,,
遵化市万佛园景区,4A,唐山市,https://www.maigoo.com/citiao/117545.html,万佛园景区是1993年由香港投资兴建的，一期工程占地448亩。万佛园有“十景、九宝”。十景为：孝经碑、风水球、长生殿、十二生肖、金水桥、善逝八塔、放生地、金宝塔、隆福阁—唐山地震纪念堂、二十九军纪念碑；九宝为：孝经影壁儒家宝、活佛舍利无价宝、皇家风水吉地宝、十二生肖周易宝、佛祖八塔镇园宝、金身大佛宝中宝、大殿木雕传世宝、抗日英雄民族宝、地震灵牌之最宝。山门巨匾“燕山塔陵”出自原中国佛教协会会长赵朴初之手。,50元,,100元以下,08:30~16:00,全年,2小时,4A,河北省 唐山市 遵化市,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
жё?е·?з“?ж?·ж??й?…ж??е??,4A,温州市,https://www.maigoo.com/citiao/110974.html,ж??й?…ж??е??п??д??д??ж??ж??з??жё?е·?её?з“?ж?·е??ж??й?…й??п??з??ж??жё?е·?в??и??й??и??в??д№?з??и??п??ж??дё?дё?д??з??з?‘г??з?§ж??г??е№?е??г??е??е??дё?з?№и??п??и??ж??й??з??е??ж?‘й??ж?…дё?дё?д?“з??й??ж??е??и??е??г??ж??е??ж??й??з§?119.16е№?ж–№е…?й??п??е??е?…з??е??е??е??г??ж??е??е??и°·п??ж°?её?з?‘её?г??е??з??ж??ж??п??е??е§?ж°?и??г??е??и??ж°?з?“п??ж°‘д?—ж·?ж??г??й??ж?…и?·д??п??и??ж?—з??з?№г??д??ж?·е??ж??п??д?‘й??з??з??п??з??й??й??й??п??дё?и??е??дё?ж??й?…ж№–г??й??е??и§’г??й?‘е?‘е??г??дё?з?‘ж?§г??е??д?‘г??д?”е??г??и??е??г??з?ёе??е…?е?§ж??е??г??,,,,,,,,,,成功,,,,,,,,,,,,,,,,,,,,,,
佛山市三水森林公园,4A,佛山市,https://www.maigoo.com/citiao/3827.html,三水森林公园位于广东佛山市三水区西南镇北郊，距三水区中心约有2公里，总面积3366亩，是广东省市级风景名胜区。公园内有华南地区最大的孔圣园，还有鳄鱼湖动物园、无情谷、鸳鸯湖等游玩景点，园内林木的覆盖率达70%。三水森林公园配套设施完备，包括酒店、度假村、会务中心等配套设施，是各方游客悠闲度假、陶冶情怀的绝妙之地，堪称,,,,08:30~17:30,全年,2~4小时,4A,广东省 佛山市 三水区 西南镇,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
宿迁市湖滨公园,4A,宿迁市,https://www.maigoo.com/citiao/113123.html,宿迁市湖滨公园创办于2008年1月，由宿迁市湖滨新城管委会管理，行政归属江苏省宿迁市。经过多年的发展，现已从最初以生态湖滨浴场及骆马湖原生态风光为景致的景区转变为拥有七个旅游功能团组成的集观光、休闲、体验为一体的大型主题公园。湖滨公园包括湖滨带状湿地公园、中德汉堡度假村、渔文化商贸风情街、滨湖特色餐饮，沙滩娱乐设施以及特产购物场所，环境优美、游人如织。,,,,全天,,1小时,4A,江苏省 宿迁市 宿豫区,,成功,,,,,,,,,,,,,,,,,,,,,,
香河金钥匙景区,4A,廊坊市,https://www.maigoo.com/citiao/117487.html,香河金钥匙景区地处环渤海经济圈腹地，京津冀都市圈金点之区，以京津市场为依托，辐射华北、东北、西北地区，距北京45公里、天津70公里、唐山80公里，京哈高速公路等多条国道、省道穿境而过。四通八达的交通网络，为各地游客及家具客商搭建了广阔的人流物流平台。景区内道路宽敞畅通，秩序井然；大型的共享休闲中厅，风格别样；30台超宽自动扶梯全天运行；观光电梯尊贵豪华；大型液晶显示屏，随时公布政策法规及公共信息；全厅广播能够及时发布各类通知；餐饮服务区，健康卫生的食品供游客享用；儿童乐园更是孩子们的欢乐海洋。,,,,08:30~17:30,全年,3小时,4A,河北省 廊坊市 香河县 绣水街31号,,成功,,,,,,,,,,,,,,,,,,,,,,
直隶总督署博物馆,4A,保定市,https://www.maigoo.com/citiao/117456.html,直隶总督署，又称直隶总督部院，是中国一所保存完整的清代省级衙署。1730年（清雍正八年）经过大规模的扩建后正式建立总督署，历经雍正、乾隆、嘉庆、道光、咸丰、同治、光绪、宣统八帝，可谓是清王朝历史的缩影。抗日战争和解放战争期间，曾是日伪和国民党河北省政府所在地，有“一座总督衙署，半部清史写照”之称。直隶总督署坐北朝南，布局严谨，采用中轴对称设计，分为东路、中路和西路，其中中路为衙署主体，包括大门、仪门、大堂、二堂等建筑，保存完好。,,,,08:00~17:30,,2小时,4A,,,成功,,,,,,,,国家第三批(清朝),点击查看,国家二级（文物）,河北省 保定市 莲池区 永华南路,,,,,,,,,,,
宜兴竹海风景区,4A,无锡市,https://www.maigoo.com/citiao/113018.html,宜兴竹海风景区绵延起伏的山谷间有成片竹子10万余亩，竹林遍地，苍翠欲滴，绵延八百余里，素有“华东第一竹海”之称，是中国竹风景、竹风情和竹文化的代表性景区。景区内竹林绵延八百余里，覆盖苏、浙、皖三省交界，拥有“太湖第一源”“苏南第一峰”“镜湖秀色”“悬空栈道”等自然与人文景观，四季皆宜游览。春季竹笋破土，夏季竹海清凉避暑，秋季层林尽染，冬季雪覆竹林如画。,,,,08:00~17:30,全年,3~4小时,4A,江苏省 无锡市 宜兴市,,成功,,,,,国家级,,,,,,,,,,,,,,,,,
詹园,4A,中山市,https://www.maigoo.com/citiao/3835.html,中山詹园，又名中山大宅门，国家AAAA级旅游景区，位于中山市南区北台村，105国道旁。景区分为詹园祝寿、歧江廊桥、詹府种福三个区域；建筑以苏杭园林为基调，综合中国古典园林之精髓，强调岭南水乡的布局脉络，结构简洁而凝重，风格古朴而洒脱。中山詹园取材多为民间古旧材料，一砖一瓦、一门一窗都凝聚着历史的痕迹，阐释着园林艺术与人文景观融合的高尚审美理念。,,,,08:00~17:30,春秋两季,1~2小时,4A,广东省 中山市 南区北台村,,成功,,,,,,,,,,,,,,,,,,,,,,
宁波马山休闲旅游区,4A,宁波市,https://www.maigoo.com/citiao/110959.html,宁波马山休闲旅游区坐落于东钱湖旅游度假区内，是一个集自然观光、文化体验、休闲度假等功能于一体的旅游区。马山休闲旅游区占地约103.51公顷，包括上水帐篷营地、上水国际房车营地、二灵山温泉、南宋石刻公园、马山湿地公园多个景区。其中马山湿地是生态滨水景点的典型代表，湿地内植被丰富，芦苇、菖蒲、水芹等水生植物与垂柳、水杉、乌桕、枫杨、木芙蓉等滨水乔木相映成趣，吸引了大量鸟类前来栖息。,,,,,,,4A,浙江省 宁波市 鄞州区 东钱湖镇,,成功,,,,,,,,,,,,,,,,,,,,,,
江阴市江苏学政文化旅游区,4A,无锡市,https://www.maigoo.com/citiao/113021.html,江苏学政文化旅游区，即江苏学政衙署，位于江苏省江阴市，是国家AAAA级旅游风景区，也是整个清代江苏省科举时代主持考试秀才的官署。旅游区占地7万多平方米，分成学政文化区、生态休憩区、游乐活动区等多个功能齐全的区域，由学政衙署遗址、中山公园生态休憩区、文庙、刘氏三兄弟故居、兴国园、要塞司令部等组成，是一座敞开式的、集市民休闲娱乐为一体的城市园林。,,,,全天,春秋季,2~4小时,4A,江苏省 无锡市 江阴市,,成功,,,,,,,,,,,,,,,,,,,,,,
内丘扁鹊庙景区,4A,邢台市,https://www.maigoo.com/citiao/117551.html,扁鹊庙，又名扁鹊祠，位于内丘县城西26公里的鹊山脚下，是祭祀、谒拜华夏医祖扁鹊的古建筑群。1963年前水上有桥，后石桥冲坍。过桥北上，越桥楼，过山门、献殿至扁鹊庙。庙内有扁鹊塑像，庙左有扁鹊墓，每年农历三月，八方人士云集祀之，香火极盛，达月余之久。原有单体建筑27座，现存有回生桥、山门、扁鹊殿、后土总司殿、玉皇殿等13座，占地面积15万平方米，是我国现存规模最大、历史最悠久的扁鹊庙群。2003年被国家旅游局评为A级旅游区，2006年被国务院公布为全国重点文物保护单位。,,,,8:30~17:30,全年,2-3小时,4A,河北省 邢台市 内丘县 城西北22公里处,,成功,,,,,,,,国家第六批(明至清),,,,,,,,,,,,,,
广州市黄花岗烈士陵园,4A,广州市,https://www.maigoo.com/citiao/3816.html,黄花岗七十二烈士墓园，又称黄花岗公园，为纪念1911年4月孙中山领导的同盟会在黄花岗起义中英勇牺牲的七十二位烈士而修建。陵园占地面积16万平方米，有墓亭、陵墓、纪功坊、记功碑等。孙中山先生题“浩气长存”四字之牌坊式大门气魄雄伟，岗陵上安放着七十二烈士之墓，墓后的纪功坊上屹立着自由女神像。烈士墓园内还有被誉为中国航空之父的中国第一个飞机制造家和飞行家冯如之墓、陆军上将邓仲元之墓、被孙中山誉为“中国革命空军之父”的杨仙逸之墓、被孙中山称“为共和殉难之第二健将”的史坚如之墓以及越南烈士范鸿泰之墓等。,,,,06:00~22:00,全年,1~2小时,4A,广东省 广州市 越秀区 先烈中路79号,,成功,,,,,,,,,,,,,,,,,,,,,,
嘉兴市海盐绮园景区,4A,嘉兴市,https://www.maigoo.com/citiao/110945.html,绮园，俗称冯家花园，占地10000平方米，水面约2000平方米，树木遮盖面积达7000平方米，有百年古树名木四十余株。绮园在造园风格上兼收苏州、扬州、杭州园林三种风格之长，整个园林妙用了“水随山转，山因水活”的叠山理水园论；且用大面积水域形式了以聚为主、散为辅，山水相随的布局。绮园景区是集游览观光、休闲娱乐、文化展示、旅游购物于一体的新型城市文化旅游综合体。,50元,,100元以下,08:00~17:00,全年,2~3小时,4A,浙江省 嘉兴市 海盐县 武原镇海滨东路37号,点击查看,成功,,,,,,,,国家第五批(清朝),,,,,,,,,,,,,,
海宁盐官观潮景区,4A,嘉兴市,https://www.maigoo.com/citiao/110842.html,盐官是一座千年古城，古城悠久的历史、灿烂的文化、动人的传说和壮观的涌潮，可谓一日游千年，满城尽奇观，景区集自然奇观与人文盛景于一身，以海宁潮胜景和盐官古镇风情取胜，自古以来，天下奇观海宁潮以其独特的壮美雄姿而令人神往。海宁盐官观潮景区内主要有海宁潮、海神庙、观潮胜地公园、王国维故居、孔庙学宫、钱江等旅游景点。,30元,,100元以下,08:00~16:30,,3~4小时,4A,浙江省 嘉兴市 海宁市 盐官镇古邑路1号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
常州青枫公园,4A,常州市,https://www.maigoo.com/citiao/113045.html,青枫公园，位于常州市钟楼区月季路，依托运河、白鹤河、童子河而建，是集“生态、科普、活力”三大主题于一身的城市森林公园，也是展示常州城市形象的重要窗口。公园总面积达45公顷，植物品种达800多种，园内树木茂盛葱郁，植物资源丰富，分布形式多样，从水生植物到湿生植物到乔灌木，从草坪到花境到丛林，形成了多种生态植物群落。,,,,全天,全年,1~2小时,4A,江苏省 常州市 钟楼区 月季路88号,,成功,,,,,,,,,,,,,,,,,,,,,,
佛山市祖庙博物馆,4A,佛山市,https://www.maigoo.com/citiao/3897.html,佛山市祖庙博物馆是一座以佛山祖庙古建筑群为核心，集岭南明清古建筑艺术、真武别地道教文化、佛山传统民俗文化为一体的综合性民俗博物馆。博物馆。博物馆占地面积3.02万平方米，包括祖庙古建筑群、孔庙、黄飞鸿纪念馆、叶问堂，藏品丰富主要包括祖庙文物、道教文化文物、地方民俗工艺文物、古代金融文物和岭南武术与粤剧文化资料等类别，并长年举办孔庙学童开笔礼、黄飞鸿醒狮表演、少年黄飞鸿武术表演、粤剧表演等动态展示活动。,,,,08:30~18:00,,1~2小时,4A,,,成功,,,,,,,,,点击查看,国家一级（文物）,广东省 佛山市 禅城区 祖庙路21号,,,,,,,,,,,
华夏庄园,4A,秦皇岛市,https://www.maigoo.com/citiao/117501.html,"国家4A级旅游景区、全国首批工业旅游示范点。位于河北省秦皇岛市昌黎县。京沈高速抚宁出口20公里可达。距秦皇岛市区45公里。是集干红酒文化传播、生产、观光、生态园体验、餐饮休闲娱乐等功能于一体的特色人文旅游景区。工业园区始建于1988年，占地面积近千亩, 是全国最大优质酿酒葡萄基地。拥有被誉为美酒天堂的亚洲第一大酒窖、0.5亿千克的全自动灌装生产线和国内顶级酿酒工艺技术。",,,,08:00~17:00,全年,2-3小时,4A,河北省 秦皇岛市 昌黎县,,成功,,,,,,,,,,,,,,,,,,,,,,
厦门方特旅游区,4A,厦门市,https://www.maigoo.com/citiao/111533.html,厦门方特旅游区共分三大乐园：方特东方神画、方特梦幻王国和方特水上乐园。方特东方神画是主要以展示中国非物质文化为主题的乐园；方特梦幻王国则是一个以高科技为主要表现形式的文化科技主题公园；方特水上乐园则是以水景为特色，水上活动为内容，游乐项目较为丰富的水上度假乐园之一。整个旅游度假区超大的游玩空间，齐全的配套设施、清新宜人的环境、贴心优质的服务，让游客能够尽情享受游玩假期。,299元,两人游园车80元/小时，三人游园车100元/小时,300~400元,09:30~18：00,全年,1~2天,4A,福建省 厦门市 同安区 石浔南路1111号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
内蒙古敕勒川草原文化旅游区,4A,呼和浩特,https://www.maigoo.com/citiao/113512.html,敕勒川草原文化旅游区位于呼和浩特市土左旗西部，总面积100平方公里，其中哈素海面积30平方公里，规划建设草原文化产业园、草原湿地公园、草原休闲博览园和休闲农业、休闲渔业、休闲牧业等重点项目。敕勒川文化旅游区分为两大区域，一是以展示和体验蒙元文化为核心，二是以观光旅游、休闲度假为核心。,,,,08:00~22:00,夏季,1天,4A,内蒙古 呼和浩特 土默特左旗,,成功,,,,,国家级,,,,,,,,,,,,,,,,,
茂名中国第一滩旅游度假区,4A,茂名市,https://www.maigoo.com/citiao/3968.html,中国第一滩旅游度假区，也称为茂名滨海公园，规划面积3.6平方公里，其中核心区面积1.2平方公里，有海滨浴场区、海上运动区、海滨度假区和中心广场区四个功能区。区内环境幽雅、风光旖旎，既有山的伟岸雄浑，又有海的温柔恬静，12公里长沙质洁白细软、宽阔平缓的沙滩，映衬着葱绿的林带，绿林、银滩、碧海和蓝天，山水相映，组成一幅旖旎风光，有“东方夏威夷”之称。景区内还开发了海水浴、日光浴、海上运动、沙滩排球、烧烤、K歌、游乐设备、度假疗养等项目。,,,,全天,全年,2~4小时,4A,广东省 茂名市 电白区,,成功,,,,,,,,,,,,,,,,,,,,,,
九如山瀑布群风景区,4A,济南市,https://www.maigoo.com/citiao/109747.html,九如山瀑布群风景区是泉城七十二名泉的发源地之一，以“八潭九瀑二十四泉三十六峰”为核心景观，是集生态观光、休闲娱乐、游憩度假等多功能为一体的大型自然风景区。九如山群山连绵，峰峦层叠，俏石嶙峋，孕育了峡谷、奇峰、丛林、山泉、溪流、瀑布、深潭，泉涌成溪，溪流成瀑，瀑落成潭，与八潭、九瀑、二十四泉相拥相抱，分合流储，构织出晶莹透彻的水世界。,120元,,,08:00~17:30,春季，夏季，秋季,1天,4A,山东省 济南市 历城区 西营街道葫芦峪村,,成功,,,,,,,,,,,,,,,,,,,,,,
安徽岱山湖旅游度假区,4A,合肥市,https://www.maigoo.com/citiao/115286.html,岱山湖集观光旅游、休闲运动、商务会议、佛教文化、住宿等于一体，是合肥地区具备良好度假条件的景区，区内山水交融，环境宜人，素有“天然氧吧”之称，被誉为“合肥的名片及后花园”。大自然的鬼斧神工，造就了岱山湖的自然风光；“山不高而层峦叠嶂，水不大而气象万千”，“平湖天上落岱山，流水稻花拂云烟”，勾勒出了岱山湖的景色特征；另区内还建有水上运动中心、冒险家乐园、拓展训练基地、天鹅岛儿童乐园等游乐设施。,40元,船票90元,100~200元,08:00~17:30,全年,1天,4A,安徽省 合肥市 肥东县 古城镇,点击查看,成功,,,,,国家级,,,,,,,,,,,,,,,,,
昆明市西山森林公园,4A,昆明市,https://www.maigoo.com/citiao/115064.html,昆明西山森林公园位于昆明西郊有,免费，景点另收费,,,08:00~18:30,3~10月,2~3小时,4A,云南省 昆明市 西山区 西山公路,,成功,,,,,,,,,,,,,,,,,,,,,,
桂林市猫儿山景区,4A,桂林市,https://www.maigoo.com/citiao/114798.html,桂林市猫儿山景区，距桂林市80多公里，号称“华南之巅”，是著名的“漓江之源”。猫儿山峰顶为一花岗岩巨石，因形似卧猫，故称猫儿山。景区山体古老，地形复杂，气候温和，水源充足，土壤肥沃，植物种类繁多。猫儿山景区是全国保护母亲河行动教育基地、全国林业科普教育基地和国家级自然保护区，也是集观光、探险、徒步、度假于一体的避暑胜地。,120元,,,08:00~17:00,全年,2~4小时,4A,广西 桂林市 兴安县,,成功,国家级(1976年建区),,,,,,,,,,,,,,,,,,,,,
北京天文馆,4A,东城区等,https://www.maigoo.com/citiao/56625.html,北京天文馆，位于北京西直门外大街，是集展示与教学于一体的国家级自然科学类专题科学博物馆。北京天文馆占地面积20000平方米，建筑面积26000平方米，包含A、B两馆，共4个科普剧场。A馆天象厅是我国大陆地区较大的地平式天象厅，B馆内有宇宙剧场、4D剧场、3D剧场3个科普剧场，以及天文展厅、太阳观测台、大众天文台、天文教室等各类科普教育设施。,,,,9:30~17:30（周末及节假日16:30），周一周二闭馆,,3~4小时,4A,,,成功,,,,,,,,,点击查看,国家一级（行业）,北京市 东城区 西城区西外大街138号东裱褙胡同2号,,,,,,,,,,,
云南野生动物园,4A,昆明市,https://www.maigoo.com/citiao/115069.html,云南野生动物园是集野生动物驯养繁殖、观赏、展示与科普教育、迁地保护为一体的国家级旅游景区。园内占地2800亩，饲养着200余种、一万多头（只）动物，包括长颈鹿、犀牛、大熊猫等珍稀物种，采用自然放养模式，让游客能近距离观察动物在接近原生态的环境中生活。园内设有珍稀动物区、非洲食草动物区、大熊猫馆、狮虎山庄等主题展区，并配备电瓶车服务、投喂互动项目及餐饮设施，游客既能观赏动物，又能参与趣味科普活动，感受人与自然和谐共处的乐趣。,100元,电瓶缆车60元,100~200元,09:00~16:30,全年,4~5小时,4A,云南省 昆明市 盘龙区 沣源路清水河村,,成功,,,,,,,,,,,,,,,,,,,,,,
北京北海公园,4A,西城区,https://www.maigoo.com/citiao/103897.html,北海公园始建于辽代，经金、元、明、清等朝代不断扩建和完善，形成了今天所见的规模，是中国现存历史上建园最早、保存最完整、文化沉积最深厚的古典皇家园林。北海公园总面积约68.2公顷，以琼华岛为中心，主要分为北岸景区、东岸景区、琼岛景区、团城景区四大景区，有西天梵境、团城、九龙壁、静心斋、阐福寺等景点。其中琼岛上建有白塔，是北海公园的标志性建筑。,旺季10元，淡季5元,,100元以下,,全年,4小时,4A,北京市 西城区 文津街1号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
厦门市胡里山炮台,4A,厦门市,https://www.maigoo.com/citiao/111539.html,胡里山炮台，始建于1891年，位于中国福建省厦门市厦门岛东南海岬突出部，毗邻厦门大学园区，三面环海。炮台总面积7万多平方米，城堡面积2.2万平方米，分为战坪区、兵营区和后山区；炮台结构为半地堡式、半城垣式，具有欧洲风格，历史上被称为“八闽门户、天南锁钥”。胡里山炮台是厦门市重要的旅游景点，也是国家AAAA级旅游景区。,25元,,100元以下,07:30~18:00,全年,1~2小时,4A,福建省 厦门市 思明区 曾厝垵2号,点击查看,成功,,,,,,,,国家第四批(清朝),,,,,,,,,,,,,,
合肥融创乐园,4A,合肥市,https://www.maigoo.com/citiao/120126.html,合肥融创乐园位于合肥市滨湖新区庐州大道，占地面积40万平方米，拥有合肥融创乐园、水世界、电影世界三大业态，将传统徽派文化精髓与高科技游乐完美结合，是一座大型徽文化主题乐园。合肥融创乐园作为一所徽文化主题乐园，拥有徽州古韵、梨园春秋、欢乐水乡、巢州古城、梦蝶仙境、 淝水之战六大主题区域，涵盖了33台风格各异的游乐设施以及水之战、梦蝶剧场两大经典剧场、梦幻花车巡游、水舞秀等多台精彩演艺。,158元,,100~200元,09:30~17:30,,1天,4A,安徽省 合肥市 包河区 庐州大道788号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
茂名市放鸡岛,4A,茂名市,https://www.maigoo.com/citiao/3892.html,放鸡岛，又名湾舟，原名汾州山，位于电白区南部沿海，离茂名港水东港区约8.6海里。据传海船到此必放一只鸡于岛上，以予放生祈求平安，故名放鸡岛。岛的面积为1.9平方公里，海域水深6-12米，能见度可达8米，东北岸长年受风浪的冲刷，岩石耸立，千姿百态，气势雄奇，远处水天一色，烟波浩淼。放鸡岛海上游乐世界，是一个美丽而神秘的潜水旅游圣地，同时岛上的植被覆盖率也居广东省海岛之冠。,165元（含船票）,环岛观光车50元,200~300元,09:00~18:00,夏季,2~4小时,4A,广东省 茂名市 电白区 博贺镇翠湖路,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
桂林罗山湖玛雅水上乐园景区,4A,桂林市,https://www.maigoo.com/citiao/114797.html,罗山湖水上乐园位于桂林市临桂区，是国家AAAA级景区，以家庭亲子活动、观光休闲为主，是融情于山水中的大型主题水上乐园。乐园涵盖15个大型设备，及多个国内先进的水上乐园系统设备，总体划分为宝贝水域亲子活动区、山地滑水探险区、冲浪漂流休闲区。乐园游玩项目包括小喇叭、超级大喇叭、儿童戏水池、海啸池、潮汐漂流河、大型水寨、双环大回环、水上过山车、大滑板滑梯、巨兽碗滑梯、合家欢滑道等。,,,,09:00~22:00,,1天,4A,广西 桂林市 临桂区 两江镇两江大道1008号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
济南方特东方神画主题乐园,4A,济南市,https://www.maigoo.com/citiao/170521.html,济南方特东方神画位于济南市槐荫区济齐路277号，是一座以非物质文化遗产为核心、结合现代科研技术的高科技主题乐园，又名中国非物质文化遗产博览园。园内的项目综合运用激光多媒体、立体特效、微缩实景、真人秀等表现手法，通过众多高科技创新技术，逼真、生动的展示中华文化的魅力，让游客感受神奇和震撼。济南方特东方神画全园分为八大主题区域，包含二十九大独家项目，是一个老少皆宜的主题乐园，适合家庭亲子休闲旅游，同时也适合年轻人寻奇探险。,280元,,300~400元,09:30~17:30,全年,4~5小时,4A,山东省 济南市 槐荫区 济齐路,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
